Gene,mean_1_aerobic_t30_2_chlor, std_1_aerobic_t30_2_chlor,mean_1_aerobic_t60_2_chlor, std_1_aerobic_t60_2_chlor,mean_1_aerobic_t180_2_chlor, std_1_aerobic_t180_2_chlor,mean_1_aerobic_t30_6_nor, std_1_aerobic_t30_6_nor,mean_1_aerobic_t60_6_nor, std_1_aerobic_t60_6_nor,mean_1_aerobic_t180_6_Nor, std_1_aerobic_t180_6_Nor
rhaS, -0.801, 1.932, 0.277, 0.127, -0.191, 0.558, -0.856, 1.430, 1.122, 0.829, -0.930, 0.437
yqgE, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yaiO, -0.404, 0.442, -0.022, 0.216, 0.102, 0.256, -0.440, 0.488, -1.593, 0.629, -0.910, 0.711
yaiI, -0.651, 0.886, inf, nan, -0.538, 1.005, -0.384, 1.183, inf, nan, -inf, nan
syd, -0.832, 0.382, 1.095, 1.000, -0.194, 0.519, -1.161, 0.624, 0.098, 1.156, -0.863, 0.508
yeiL, -0.434, 1.166, -0.185, 0.422, 0.332, 0.272, -0.572, 0.469, -0.592, 0.711, -0.508, 0.538
lgt, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan, inf, nan
scpB, -1.733, 1.119, 0.214, 0.529, -0.339, 0.394, -inf, nan, -inf, nan, -0.354, 0.461
ushA, -0.098, 0.459, 0.209, 0.666, -0.606, 1.139, -0.462, 0.736, -1.061, 0.523, -1.276, 0.352
torT, 0.399, 0.833, 0.371, 0.184, 0.396, 0.644, 0.086, 0.981, -0.591, 0.657, -0.489, 0.726
yeaM, 0.285, 0.400, 0.291, 0.241, 0.143, 0.065, -0.231, 0.814, -0.539, 0.126, -0.611, 0.408
ybhD, -0.681, 0.789, 0.473, 0.661, 0.395, 0.448, -1.189, 0.805, -inf, nan, -0.021, 0.231
ybcV, -0.264, 1.361, 0.252, 0.729, 0.679, 0.390, -inf, nan, -inf, nan, -0.683, 0.667
micM, 0.116, 0.733, 0.174, 0.252, -0.206, 0.267, -0.622, 1.449, 0.230, 0.715, -1.074, 0.424
hrpA, 1.085, 1.918, 1.070, 0.880, 0.539, 0.319, 1.041, 2.431, 0.316, 2.234, -0.597, 0.546
ybjC, 0.109, 0.677, 0.352, 0.433, 0.407, 0.227, -0.524, 1.188, -1.950, 2.681, -1.131, 1.468
yfgF, -1.030, 0.960, -0.065, 0.460, 0.338, 0.137, -2.110, 1.076, -1.828, 2.501, -0.855, 0.426
pbl, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
ytfI, -inf, nan, inf, nan, -inf, nan, -inf, nan, inf, nan, -inf, nan
kduI, -0.530, 0.871, 1.085, 0.493, -0.067, 0.243, -0.600, 1.065, -0.598, 1.137, -0.879, 0.389
xseA, -0.847, 0.507, 0.305, 0.446, 0.214, 0.408, -3.073, 1.150, -1.234, 2.633, -1.243, 1.481
glvG, 0.394, 0.476, 0.226, 0.271, 0.001, 0.578, 0.821, 0.768, -inf, nan, -inf, nan
dinF, -0.743, 0.804, 0.314, 0.188, -0.059, 0.131, -1.214, 0.555, -1.048, 0.647, -0.996, 0.348
betT, -0.085, 0.689, 0.596, 0.314, 0.190, 0.229, -0.116, 0.556, 0.466, 0.399, -0.668, 0.086
sfmH, 0.279, 0.793, 0.389, 0.236, 0.079, 0.177, -0.422, 0.259, 0.415, 1.257, -0.694, 0.135
kbl, 0.649, 0.432, 0.413, 0.347, 0.698, 0.207, 1.400, 0.320, 0.209, 1.402, 0.048, 0.310
ynbC, -0.844, 1.056, inf, nan, 0.141, 0.860, -0.933, 1.323, nan, nan, -1.485, 0.660
tdcC, 0.561, 0.366, 0.499, 0.379, 0.234, 0.089, -0.042, 0.537, -0.544, 0.591, -0.622, 0.278
yigE, -0.010, 0.242, 0.331, 0.334, 0.514, 0.550, 0.125, 0.590, -0.693, 0.785, -0.488, 0.682
flhE, -0.319, 2.026, 0.939, 1.384, -0.013, 0.337, -0.057, 0.865, 0.337, 1.558, -0.681, 0.281
eco, 0.028, 0.779, 0.270, 0.470, 0.227, 0.336, -0.369, 0.769, -0.389, 1.048, -0.524, 0.353
ybaA, 0.002, 0.849, 0.195, 0.931, 0.384, 0.305, 0.230, 0.857, -inf, nan, -0.149, 0.526
treA, 0.358, 0.297, 0.494, 0.127, 0.097, 0.252, 0.133, 0.441, -0.214, 0.425, -0.437, 0.268
ybgP, 0.481, 0.463, 0.703, 0.116, 0.412, 0.323, -0.375, 0.948, 0.029, 1.647, -0.402, 0.420
yffQ, -inf, nan, -inf, nan, 0.525, 1.462, -inf, nan, -inf, nan, -0.036, 0.924
bamC, 0.820, 0.189, 0.052, 0.292, 0.197, 0.297, -0.929, 2.500, 0.111, 0.351, -0.927, 0.680
ycjV, 0.291, 1.405, 0.396, 0.286, 0.469, 0.165, -0.306, 1.441, -0.212, 0.544, -0.578, 0.379
purH, 1.047, 0.292, 0.438, 0.268, 0.522, 0.450, 0.343, 0.753, -0.912, 2.065, -0.359, 0.079
yaiY, 0.749, 0.393, 0.205, 0.506, 0.223, 0.330, 0.565, 0.385, -0.582, 0.656, -1.124, 0.888
aaeB, 0.108, 0.524, 0.486, 0.224, -0.037, 0.291, 0.012, 0.738, -0.220, 0.620, -0.778, 0.315
npr, -0.323, 0.306, 0.790, 0.327, 0.618, 0.183, -0.469, 0.570, -1.344, 1.119, -0.343, 0.409
ygiQ, 0.639, 0.872, 0.488, 0.383, 0.270, 0.296, -0.702, 0.656, -0.593, 1.743, -0.723, 0.352
nrdG, 0.613, 0.397, 0.549, 0.633, 1.052, 1.358, 1.083, 1.503, 0.465, 1.166, 0.601, 2.368
yiaA, -inf, nan, -inf, nan, inf, nan, -0.533, 1.053, 0.378, 2.547, inf, nan
ihfA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
fabA, -inf, nan, inf, nan, -inf, nan, -inf, nan, inf, nan, -inf, nan
rfbB, 0.541, 0.362, 0.291, 0.213, 0.030, 0.178, 0.041, 0.650, -0.509, 0.743, -0.774, 0.283
murJ, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, nan, nan
gspO, -0.145, 1.152, 0.414, 0.204, -0.042, 0.409, -0.860, 1.205, -0.869, 0.350, -1.114, 0.343
kdpC, 0.095, 0.660, 0.907, 0.821, 0.595, 1.648, 0.185, 1.389, 0.568, 1.637, 0.020, 2.277
gltS, -0.406, 2.307, 0.409, 0.255, 0.131, 0.275, 0.172, 1.107, -0.385, 0.827, -0.551, 0.325
ynjB, -0.001, 0.467, 0.298, 0.564, 0.827, 0.480, -0.034, 0.784, -1.133, 0.786, -0.347, 0.304
aroB, -0.547, 0.623, 0.768, 0.351, 0.929, 0.795, -0.177, 1.454, -0.344, 0.746, 0.333, 0.710
ytfA, 0.804, 0.897, 0.424, 0.616, 0.241, 0.345, -0.090, 0.657, -1.136, 2.114, -0.801, 0.606
yfaT, 0.477, 0.913, 0.705, 0.475, 0.177, 0.478, 0.168, 0.848, 0.543, 1.319, -0.447, 0.712
yfeY, 0.608, 0.335, 0.025, 0.503, -0.393, 0.333, -0.742, 0.877, -0.504, 1.201, -0.998, 0.727
sfsB, 0.540, 0.432, 0.266, 0.198, 0.250, 0.211, -0.097, 0.681, -0.945, 0.267, -0.812, 0.210
eptB, -0.103, 0.804, 0.531, 0.407, 0.241, 0.187, -0.605, 0.825, 0.252, 1.443, -0.606, 0.587
napB, 0.647, 0.386, 0.520, 0.171, 0.305, 0.111, -0.073, 0.847, -0.391, 0.652, -0.599, 0.278
wcaF, -0.656, 1.019, 0.600, 0.302, 0.306, 0.634, -0.700, 0.235, -0.708, 0.697, -0.448, 0.603
yafK, 0.382, 0.349, 0.340, 0.530, 0.414, 0.170, 0.083, 1.779, -inf, nan, -0.886, 0.750
ypfJ, 1.296, 0.790, 0.908, 0.394, 0.360, 0.203, 1.283, 1.046, 0.075, 0.799, -0.572, 0.177
rlmH, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
moaB, -0.833, 1.419, 0.532, 0.458, 0.595, 0.368, -1.338, 2.044, -inf, nan, 0.012, 0.758
motA, 0.221, 0.464, 0.441, 0.258, 0.299, 0.208, -0.076, 0.505, -0.530, 0.482, -0.697, 0.145
bcr, 0.422, 0.135, 0.453, 0.310, 0.182, 0.104, 0.107, 0.193, 0.191, 0.585, -0.489, 0.424
malG, 0.081, 0.699, 0.496, 0.477, 0.369, 0.390, -0.211, 0.861, 0.089, 0.923, -0.671, 0.444
araC, 0.589, 0.453, 0.520, 0.182, 0.124, 0.161, 0.347, 0.587, -0.426, 0.294, -1.244, 0.286
ycbK, 0.716, 0.668, 0.708, 0.402, 0.339, 0.542, 0.120, 0.478, -0.007, 1.483, -0.653, 0.353
ppk, -0.382, 2.211, 0.106, 0.748, -0.498, 1.637, -1.029, 1.696, -1.284, 1.242, -0.843, 0.398
zupT, 0.030, 0.608, 0.609, 0.268, 0.524, 0.900, -0.467, 0.543, 0.360, 0.491, -0.012, 1.181
yiaK, 0.474, 0.662, 0.673, 0.356, 0.451, 0.676, 0.427, 0.895, -0.041, 1.045, -0.525, 0.507
yecS, 0.717, 0.364, 0.259, 0.155, 0.323, 0.285, 0.475, 0.418, 0.087, 0.218, -0.643, 0.370
gatR_1, 0.025, 1.035, 0.325, 0.347, -0.047, 0.422, -0.339, 0.940, -0.587, 0.501, -0.525, 0.262
artI, 0.034, 0.566, 0.473, 0.544, 0.140, 0.188, -0.292, 0.156, -0.195, 1.281, -0.244, 0.421
tqsA, 0.022, 0.215, 0.361, 0.222, -0.011, 0.296, -0.319, 0.517, -0.351, 0.161, -0.783, 0.391
dedA, -0.411, 0.545, 0.078, 0.644, 0.198, 0.283, -1.158, 1.182, -0.920, 1.052, -0.768, 0.373
nepI, 0.464, 0.423, 0.369, 0.396, 0.627, 0.654, 0.340, 0.670, -1.223, 2.435, -0.302, 1.300
ycjG, -0.054, 1.261, -0.029, 0.702, -0.241, 0.271, -1.140, 1.424, -0.537, 1.511, -0.840, 0.474
rhaA, 0.096, 0.371, 0.565, 0.349, 0.141, 0.189, -0.587, 0.334, -0.150, 0.712, -0.896, 0.362
yehW, 0.446, 0.208, 0.190, 0.406, 0.323, 0.141, 0.323, 0.163, -0.755, 0.853, -0.383, 0.111
dcyD, -0.582, 0.758, 0.397, 0.144, -0.033, 0.336, -0.119, 0.984, -0.972, 0.385, -1.076, 0.536
sgcC, 0.449, 1.006, 0.263, 0.264, 0.225, 0.417, -0.192, 0.544, -1.644, 0.957, -0.787, 0.338
rbfA, nan, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
phoQ, 0.199, 0.800, -0.011, 0.296, -0.713, 0.606, -0.861, 1.051, -0.866, 2.352, -0.373, 0.772
ykfB, 0.207, 0.297, 0.082, 0.405, 0.244, 0.234, -0.180, 1.192, 0.846, 1.670, -0.493, 0.485
yieH, -0.226, 0.868, 0.531, 0.600, -0.365, 0.462, -0.666, 0.904, -0.466, 1.581, -1.050, 0.137
ydjO, -0.581, 1.139, inf, nan, -0.032, 0.680, -inf, nan, nan, nan, -inf, nan
trmI, 0.985, 0.473, 0.716, 0.481, 0.159, 0.510, -0.125, 1.535, -0.672, 1.466, -0.787, 0.707
ispB, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
paaY, 0.339, 0.812, 0.429, 0.325, 1.266, 2.320, -0.089, 0.895, -0.612, 0.932, 0.699, 2.378
uspC, -0.610, 1.380, 0.511, 0.633, 1.357, 1.607, -1.184, 2.707, -0.814, 0.850, 0.062, 1.343
bcsZ, 0.271, 0.563, 0.301, 0.599, -0.087, 0.196, -0.170, 0.890, -0.087, 1.296, -0.771, 0.357
csdA, -0.019, 0.436, 0.338, 0.193, 0.139, 0.443, -0.003, 0.261, -0.000, 0.774, -0.651, 0.524
ecpC, 0.560, 0.660, 0.398, 0.816, 0.405, 0.352, 0.339, 0.508, -1.120, 1.665, -0.620, 0.651
yjbJ, 0.760, 0.904, 0.667, 0.389, 0.165, 0.447, 0.260, 1.299, -0.101, 1.798, -0.891, 0.262
ydhV, -0.585, 0.894, 0.466, 0.477, 0.643, 1.166, -1.060, 1.419, -inf, nan, 0.607, 0.655
rpoC, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
ykiB, inf, nan, nan, nan, inf, nan, nan, nan, nan, nan, inf, nan
yfaY, -0.578, 0.805, 0.683, 1.094, -0.097, 0.362, -0.728, 1.129, -0.696, 1.086, -0.591, 0.442
yaeF, -0.112, 0.810, 0.187, 0.284, -0.118, 0.276, -0.589, 0.602, -0.542, 0.805, -1.326, 0.258
ybjQ, -0.278, 1.358, 0.090, 0.340, -0.113, 0.252, -0.858, 0.959, -inf, nan, -0.251, 0.366
rbsB, 1.049, 0.707, 0.277, 0.205, 0.222, 0.218, 0.222, 0.891, -0.392, 0.599, -0.652, 0.571
yedS_1, 1.442, 1.634, 0.294, 0.240, 0.120, 1.068, 1.487, 2.508, -0.841, 0.459, -0.347, 0.861
focB, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
acrR, 0.051, 0.459, 0.447, 0.297, 0.353, 0.096, 0.402, 0.833, -0.657, 1.380, -0.949, 0.550
trkG, -0.931, 0.530, 0.788, 1.130, -0.062, 0.514, -1.368, 1.350, -0.678, 0.829, -0.727, 0.541
ydcN, 1.196, 0.478, 0.485, 0.542, 0.391, 1.454, 0.941, 1.824, 1.028, 1.797, -0.384, 0.698
hycC, 0.153, 0.569, 0.571, 0.313, 0.163, 0.211, -0.186, 1.412, 0.117, 1.403, -0.500, 0.456
yfhR, nan, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
dacA, -0.379, 0.984, 0.196, 0.547, 0.142, 0.049, -0.558, 0.941, -inf, nan, -0.299, 0.417
galP, 0.002, 0.205, 0.463, 0.406, 0.124, 0.176, -0.412, 0.274, -0.755, 1.005, -0.737, 0.460
yfcC, 0.039, 1.023, 0.381, 0.115, 0.634, 0.414, -0.239, 1.176, -0.586, 1.350, -0.065, 0.915
modC, -0.200, 0.458, 0.395, 0.286, 0.172, 0.316, -0.623, 0.901, -0.118, 0.537, -0.618, 0.242
ybcY, inf, nan, inf, nan, 0.491, 0.623, inf, nan, inf, nan, -inf, nan
yibL, 0.950, 0.255, 0.807, 0.950, 0.173, 0.304, 0.076, 0.909, -0.174, 1.710, -0.474, 0.366
yjiH, 0.025, 0.779, 0.552, 0.492, inf, nan, -inf, nan, -inf, nan, inf, nan
xdhD, 0.379, 1.170, 0.773, 0.350, -0.311, 0.379, -0.468, 2.136, 0.072, 1.227, -1.142, 0.949
tdcE, -0.563, 1.532, 0.192, 0.319, 0.243, 0.224, -1.310, 1.536, -0.777, 0.464, -0.347, 0.812
rfbD, -0.393, 0.713, 0.266, 0.527, -0.221, 0.302, -0.640, 0.686, -0.502, 0.506, -1.112, 0.339
ybbY, 0.264, 0.174, 0.067, 0.301, -0.111, 0.578, -0.015, 0.435, -0.420, 0.476, -0.318, 0.660
ydgH, 0.700, 0.656, 0.272, 0.340, -0.018, 0.137, 0.603, 0.830, -0.528, 0.404, -0.878, 0.246
iap, inf, nan, 0.490, 0.515, 0.517, 0.133, inf, nan, -1.219, 1.165, -0.600, 0.488
ndk, inf, nan, inf, nan, 1.014, 0.916, inf, nan, inf, nan, 0.621, 1.352
mltD, 0.278, 0.328, 0.190, 0.067, 0.177, 0.308, 0.012, 0.350, -0.970, 0.344, -0.616, 0.057
torS, 0.660, 0.602, 0.317, 0.146, -0.092, 0.142, 0.374, 0.715, -0.403, 0.443, -1.139, 0.461
cysU, 1.329, 0.813, 0.439, 0.236, 0.738, 1.178, 0.753, 0.917, -0.138, 0.543, -0.083, 1.107
pitB, -0.425, 0.944, 0.536, 0.384, -0.414, 0.724, -0.495, 0.705, -0.069, 1.400, -0.935, 0.534
djlA, 0.245, 0.319, 0.556, 0.395, 0.195, 0.288, -0.174, 0.906, -0.804, 0.763, -0.521, 0.556
Phantom Gene, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
ybhP, 0.421, 1.875, -0.307, 0.813, -0.927, 2.111, -0.022, 1.784, -inf, nan, -0.687, 0.528
hlyE, 0.165, 0.773, 0.303, 0.557, 0.049, 0.492, -0.887, 1.179, -1.434, 1.615, -0.969, 0.210
acpH, 0.780, 0.839, 0.683, 0.205, 0.333, 0.387, 0.637, 1.267, -0.198, 0.435, -0.469, 0.375
ssuE, 0.615, 0.165, 0.678, 0.578, 0.828, 0.815, 0.416, 0.578, -0.381, 0.493, 0.189, 1.763
