first_gene,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16
yaeQ,0.0,0.0,0.0, , , , , , , , , , , , , 
gmhB,-3.62389, , , , , , , , , , , , , , , 
rrsH,-1.95389,0.0,0.0,-7.95656,0.0, , , , , , , , , , , 
aspU,0.0, , , , , , , , , , , , , , , 
dkgB,0.0, , , , , , , , , , , , , , , 
yafD,0.341507,0.876335, , , , , , , , , , , , , , 
yafS,-0.623596, , , , , , , , , , , , , , , 
dnaQ,-1.90093, , , , , , , , , , , , , , , 
aspV,0.0, , , , , , , , , , , , , , , 
yafT,-0.908722, , , , , , , , , , , , , , , 
C0067,0.0, , , , , , , , , , , , , , , 
yafF,0.0, , , , , , , , , , , , , , , 
ivy,-1.19121, , , , , , , , , , , , , , , 
lpcA,-2.66275, , , , , , , , , , , , , , , 
yafJ,0.285105, , , , , , , , , , , , , , , 
yafL,-0.560864, , , , , , , , , , , , , , , 
rayT,0.45511, , , , , , , , , , , , , , , 
lafU,0.397482, , , , , , , , , , , , , , , 
dinB,0.516785,0.0,-5.30791,0.50658, , , , , , , , , , , , 
ykfJ,0.0,0.336627, , , , , , , , , , , , , , 
gpt,0.279656, , , , , , , , , , , , , , , 
frsA,0.0, , , , , , , , , , , , , , , 
crl,-6.38462, , , , , , , , , , , , , , , 
proB,-4.4671,-4.30676, , , , , , , , , , , , , , 
thrW,0.0, , , , , , , , , , , , , , , 
insN-1,0.558823,0.0,0.405402, , , , , , , , , , , , , 
eyeA,0.0, , , , , , , , , , , , , , , 
ykfC,0.0, , , , , , , , , , , , , , , 
mmuP,0.500476,0.0, , , , , , , , , , , , , , 
yagE,0.0,0.0, , , , , , , , , , , , , , 
yagG,0.0,-9.03101, , , , , , , , , , , , , , 
yagJ,-7.12679, , , , , , , , , , , , , , , 
yagU,-0.0523092, , , , , , , , , , , , , , , 
ykgL,0.614606, , , , , , , , , , , , , , , 
eaeH,0.0,0.0,0.0,0.0, , , , , , , , , , , , 
ykgQ,0.0, , , , , , , , , , , , , , , 
ykgD,0.0, , , , , , , , , , , , , , , 
ykgE,0.0,0.0,0.0, , , , , , , , , , , , , 
betT,0.0, , , , , , , , , , , , , , , 
yahA,-0.699899, , , , , , , , , , , , , , , 
yahD,0.0,0.598086,0.0,0.0, , , , , , , , , , , , 
yahH,0.0, , , , , , , , , , , , , , , 
yahI,0.318191,0.368211, , , , , , , , , , , , , , 
yahK,0.0, , , , , , , , , , , , , , , 
yahL,0.0, , , , , , , , , , , , , , , 
yahM,-5.36803, , , , , , , , , , , , , , , 
yahO,0.0, , , , , , , , , , , , , , , 
prpB,0.0,0.0,0.412626,0.0, , , , , , , , , , , , 
codB,0.0,0.0, , , , , , , , , , , , , , 
cynT,0.0,0.0,0.0, , , , , , , , , , , , , 
mhpA,0.0,-0.378784,0.0,0.0,0.330961,0.0, , , , , , , , , , 
mhpT,0.281332, , , , , , , , , , , , , , , 
yaiL,0.74682, , , , , , , , , , , , , , , 
insC-1,0.0,0.0,0.0, , , , , , , , , , , , , 
tauA,0.270033,-1.75348,-0.290897,0.0, , , , , , , , , , , , 
yaiT,-0.308827, , , , , , , , , , , , , , , 
yaiU,-7.00537, , , , , , , , , , , , , , , 
yaiV,0.337183, , , , , , , , , , , , , , , 
sbmA,-1.13955,-0.0688906, , , , , , , , , , , , , , 
yaiZ,0.0, , , , , , , , , , , , , , , 
iraP,-3.69284, , , , , , , , , , , , , , , 
phoA,-2.1176,-1.62152, , , , , , , , , , , , , , 
adrA,0.0, , , , , , , , , , , , , , , 
yaiI,0.0, , , , , , , , , , , , , , , 
aroL,-0.0961222,-0.304522,0.0, , , , , , , , , , , , , 
yaiE,0.0, , , , , , , , , , , , , , , 
ykiA,0.0, , , , , , , , , , , , , , , 
mak,-0.622575, , , , , , , , , , , , , , , 
phoB,0.0,0.0, , , , , , , , , , , , , , 
brnQ,0.0,-1.56499, , , , , , , , , , , , , , 
malZ,0.0, , , , , , , , , , , , , , , 
queA,-7.03064, , , , , , , , , , , , , , , 
tgt,-0.372662,-5.47327,-6.80254,-7.48896, , , , , , , , , , , , 
yajD,0.0, , , , , , , , , , , , , , , 
nrdR,-3.71164,-1.59798,-6.16147,-5.65262,-1.8603,0.0, , , , , , , , , , 
thiI,0.773106, , , , , , , , , , , , , , , 
yajQ,0.413701, , , , , , , , , , , , , , , 
bolA,0.347642, , , , , , , , , , , , , , , 
tig,-0.855721, , , , , , , , , , , , , , , 
clpP,-0.812876,-0.612457,-0.644428, , , , , , , , , , , , , 
hupB,-0.348452, , , , , , , , , , , , , , , 
ppiD,0.0, , , , , , , , , , , , , , , 
ybaV,-0.29315, , , , , , , , , , , , , , , 
fadM,-0.685403, , , , , , , , , , , , , , , 
cof,0.0, , , , , , , , , , , , , , , 
ybaO,-1.28038, , , , , , , , , , , , , , , 
mdlA,0.0,0.0, , , , , , , , , , , , , , 
glnK,-2.43801,-1.47119, , , , , , , , , , , , , , 
ybaY,0.210417, , , , , , , , , , , , , , , 
ffs,-6.97708, , , , , , , , , , , , , , , 
ybaA,0.0, , , , , , , , , , , , , , , 
acrR,0.602888, , , , , , , , , , , , , , , 
mscK,0.0, , , , , , , , , , , , , , , 
ybaN,0.0, , , , , , , , , , , , , , , 
apt,-0.514899, , , , , , , , , , , , , , , 
dnaX,-8.80523, , , , , , , , , , , , , , , 
ybaB,-0.595394,0.0, , , , , , , , , , , , , , 
htpG,0.0, , , , , , , , , , , , , , , 
adk,-9.24817, , , , , , , , , , , , , , , 
hemH,0.46097, , , , , , , , , , , , , , , 
gsk,0.0, , , , , , , , , , , , , , , 
ushA,0.702597, , , , , , , , , , , , , , , 
micM,0.444397, , , , , , , , , , , , , , , 
ybaQ,0.0, , , , , , , , , , , , , , , 
ybaS,-0.612207,0.325483, , , , , , , , , , , , , , 
cueR,0.346608, , , , , , , , , , , , , , , 
ybbL,0.0,-1.00562, , , , , , , , , , , , , , 
ybbA,-0.572558,0.0, , , , , , , , , , , , , , 
rhsD,0.0,0.0,0.0,0.0, , , , , , , , , , , , 
allA,0.0, , , , , , , , , , , , , , , 
allR,0.416004, , , , , , , , , , , , , , , 
gcl,0.0,0.0,0.0,-0.576548,0.0,0.300804,-0.478805, , , , , , , , , 
fdrA,0.0,0.350293,0.40961,0.397141,-7.70819, , , , , , , , , , , 
cysS,-7.31708, , , , , , , , , , , , , , , 
sfmA,0.0, , , , , , , , , , , , , , , 
sfmC,-1.58956,0.0, , , , , , , , , , , , , , 
sfmH,0.495976,-0.990886, , , , , , , , , , , , , , 
argU,-9.01525, , , , , , , , , , , , , , , 
ybcD,0.0, , , , , , , , , , , , , , , 
insE-3,0.0,0.0,0.0, , , , , , , , , , , , , 
renD,0.0,-7.02053, , , , , , , , , , , , , , 
ybcK,-4.10627, , , , , , , , , , , , , , , 
ybcL,-1.20538,0.0, , , , , , , , , , , , , , 
ylcH,0.362339, , , , , , , , , , , , , , , 
ybcN,0.452042,0.0,0.0,0.0,0.184024, , , , , , , , , , , 
ybcQ,0.338579, , , , , , , , , , , , , , , 
essD,0.0,0.0,-0.608017,0.480603, , , , , , , , , , , , 
ybcW,0.0, , , , , , , , , , , , , , , 
nohB,0.0, , , , , , , , , , , , , , , 
tfaD,0.0, , , , , , , , , , , , , , , 
tfaX,0.0, , , , , , , , , , , , , , , 
appY,-5.00882, , , , , , , , , , , , , , , 
cusC,-5.50139,0.335688,0.350408,0.309803, , , , , , , , , , , , 
pheP,0.438623, , , , , , , , , , , , , , , 
hokE,0.0, , , , , , , , , , , , , , , 
insL-2,0.0, , , , , , , , , , , , , , , 
fes,0.0,-0.456449,0.0,-0.539714, , , , , , , , , , , , 
entS,0.464074, , , , , , , , , , , , , , , 
entC,0.29716,0.0,0.0,0.513131,0.0, , , , , , , , , , , 
cstA,0.0, , , , , , , , , , , , , , , 
ybdD,0.0, , , , , , , , , , , , , , , 
ybdL,-0.731451, , , , , , , , , , , , , , , 
ahpC,0.0,0.0, , , , , , , , , , , , , , 
ybdR,0.0, , , , , , , , , , , , , , , 
dpiB,-4.97268,0.0, , , , , , , , , , , , , , 
pagP,-2.21098, , , , , , , , , , , , , , , 
cspE,0.0, , , , , , , , , , , , , , , 
ybeM_1,-0.389302,-0.524863, , , , , , , , , , , , , , 
tatE,0.295503, , , , , , , , , , , , , , , 
ybeL,0.61164, , , , , , , , , , , , , , , 
ybeR,0.0,0.675105, , , , , , , , , , , , , , 
ybeU,0.0,0.597811, , , , , , , , , , , , , , 
ubiF,0.0, , , , , , , , , , , , , , , 
nagE,0.217659, , , , , , , , , , , , , , , 
glnS,-9.21335, , , , , , , , , , , , , , , 
chiP,0.443623,0.0, , , , , , , , , , , , , , 
seqA,-1.64676,0.411935, , , , , , , , , , , , , , 
ybfP,0.0, , , , , , , , , , , , , , , 
ybfK,0.0, , , , , , , , , , , , , , , 
ybfA,0.0, , , , , , , , , , , , , , , 
rhsC,0.668749, , , , , , , , , , , , , , , 
ybfB,0.972572, , , , , , , , , , , , , , , 
ybfO,0.0,0.0, , , , , , , , , , , , , , 
ybfQ,0.0, , , , , , , , , , , , , , , 
ybfL,0.0, , , , , , , , , , , , , , , 
ybfD,0.0, , , , , , , , , , , , , , , 
ybgA,-2.15918,0.307511, , , , , , , , , , , , , , 
ybgI,0.0,0.0,0.0,0.0,0.0, , , , , , , , , , , 
sdhC,-1.5262,-1.13461,0.376854,0.0,0.0,-1.7548,-7.83522,-0.318973,-0.414747, , , , , , , 
mngA,-0.792507,0.262409, , , , , , , , , , , , , , 
cydA,-0.322951,0.76739, , , , , , , , , , , , , , 
cydX,0.0,0.0, , , , , , , , , , , , , , 
ybgC,-1.7397,-1.09334,-2.38936,-1.35405, , , , , , , , , , , , 
tolB,-1.0829,-1.40791,0.0, , , , , , , , , , , , , 
lysT,0.0,0.0,0.0, , , , , , , , , , , , , 
valZ,0.0,0.0, , , , , , , , , , , , , , 
lysZ,0.0, , , , , , , , , , , , , , , 
lysQ,0.0, , , , , , , , , , , , , , , 
nadA,0.4571,0.0, , , , , , , , , , , , , , 
aroG,0.0, , , , , , , , , , , , , , , 
acrZ,0.0, , , , , , , , , , , , , , , 
modA,0.372772,0.240103,0.0, , , , , , , , , , , , , 
pgl,-0.375179, , , , , , , , , , , , , , , 
ybhH,0.418316, , , , , , , , , , , , , , , 
ybhI,-6.04963, , , , , , , , , , , , , , , 
ybhJ,0.0, , , , , , , , , , , , , , , 
bioB,-8.86526,-4.16246,0.0,0.0, , , , , , , , , , , , 
uvrB,0.0, , , , , , , , , , , , , , , 
moaA,-1.09129,0.0,0.0,-0.347257,0.0, , , , , , , , , , , 
ybhL,0.0, , , , , , , , , , , , , , , 
ybhM,-2.47658, , , , , , , , , , , , , , , 
ybhQ,0.0, , , , , , , , , , , , , , , 
rhlE,-1.59881, , , , , , , , , , , , , , , 
dinG,-0.496137, , , , , , , , , , , , , , , 
ybiB,0.0, , , , , , , , , , , , , , , 
ybiC,0.0, , , , , , , , , , , , , , , 
rlmF,0.0, , , , , , , , , , , , , , , 
ompX,-0.455465, , , , , , , , , , , , , , , 
yliL,0.0, , , , , , , , , , , , , , , 
mntR,0.0,0.202772, , , , , , , , , , , , , , 
ybiT,-0.420852, , , , , , , , , , , , , , , 
fsaA,-0.3569, , , , , , , , , , , , , , , 
iaaA,0.0,-0.112192,0.34275,0.0,0.0, , , , , , , , , , , 
yliE,0.0,0.0, , , , , , , , , , , , , , 
bssR,0.410476, , , , , , , , , , , , , , , 
yliI,0.23944, , , , , , , , , , , , , , , 
dacC,0.0, , , , , , , , , , , , , , , 
mdfA,-0.311052, , , , , , , , , , , , , , , 
rcdA,0.0, , , , , , , , , , , , , , , 
ybjM,0.0, , , , , , , , , , , , , , , 
ybjC,0.624293,0.0,0.0,-0.430831, , , , , , , , , , , , 
potF,-11.1424,-0.043172,0.0,0.0, , , , , , , , , , , , 
ybjO,-5.64766,-0.428159, , , , , , , , , , , , , , 
ybjQ,0.0,-11.3487, , , , , , , , , , , , , , 
ybjD,0.0, , , , , , , , , , , , , , , 
macA,0.0,-0.72132, , , , , , , , , , , , , , 
clpS,-0.926993, , , , , , , , , , , , , , , 
clpA,-0.527902, , , , , , , , , , , , , , , 
lrp,0.411405, , , , , , , , , , , , , , , 
ftsK,-2.51983, , , , , , , , , , , , , , , 
lolA,-7.58221,-2.85898, , , , , , , , , , , , , , 
serS,-7.98458, , , , , , , , , , , , , , , 
dmsA,0.280781,0.745787,0.0, , , , , , , , , , , , , 
ycaD,0.391836, , , , , , , , , , , , , , , 
ycaM,0.0, , , , , , , , , , , , , , , 
ycaK,-0.396618, , , , , , , , , , , , , , , 
ycaP,0.395876, , , , , , , , , , , , , , , 
serC,0.0,-0.983907, , , , , , , , , , , , , , 
ycaL,0.0, , , , , , , , , , , , , , , 
cmk,-5.3286,-4.72759,-0.749569, , , , , , , , , , , , , 
ycaI,0.0,-8.26438,-7.23017,-5.36116, , , , , , , , , , , , 
ycaR,-4.79773,-5.47371, , , , , , , , , , , , , , 
ycbJ,0.549788, , , , , , , , , , , , , , , 
smtA,-4.00842,-3.24115,-4.43711,-3.78215, , , , , , , , , , , , 
ycbB,0.0, , , , , , , , , , , , , , , 
ycbK,0.454085,0.359577, , , , , , , , , , , , , , 
pepN,0.0, , , , , , , , , , , , , , , 
elfA,0.0, , , , , , , , , , , , , , , 
elfD,0.0,-6.40948,0.0,0.0,0.453374,0.342856, , , , , , , , , , 
pyrD,0.0, , , , , , , , , , , , , , , 
zapC,-0.658883, , , , , , , , , , , , , , , 
rlmL,-1.33326,-0.942639, , , , , , , , , , , , , , 
pqiA,0.286956,0.0, , , , , , , , , , , , , , 
ymbA,0.389516, , , , , , , , , , , , , , , 
rmf,0.606013, , , , , , , , , , , , , , , 
matP,-0.500277, , , , , , , , , , , , , , , 
sxy,0.0, , , , , , , , , , , , , , , 
helD,0.0, , , , , , , , , , , , , , , 
yccU,0.0, , , , , , , , , , , , , , , 
yccX,0.0, , , , , , , , , , , , , , , 
hyaA,0.0,0.349129,-0.526968,-3.74913,0.0,0.0, , , , , , , , , , 
appC,-1.782,-2.63134,0.0,0.0,0.0, , , , , , , , , , , 
insA-4,0.0,0.0, , , , , , , , , , , , , , 
cspG,0.0, , , , , , , , , , , , , , , 
ymcE,0.0,-0.607105, , , , , , , , , , , , , , 
torT,0.0, , , , , , , , , , , , , , , 
torC,0.237291,0.0,0.0, , , , , , , , , , , , , 
yccE,0.0, , , , , , , , , , , , , , , 
agp,-0.297195, , , , , , , , , , , , , , , 
ycdF,0.0, , , , , , , , , , , , , , , 
ymdF,0.0, , , , , , , , , , , , , , , 
rutR,0.0, , , , , , , , , , , , , , , 
putP,0.0, , , , , , , , , , , , , , , 
efeU_1,0.417782,0.0, , , , , , , , , , , , , , 
efeO,0.0,-0.532042, , , , , , , , , , , , , , 
phoH,0.300789, , , , , , , , , , , , , , , 
ycdT,-2.06658, , , , , , , , , , , , , , , 
ymdE,-3.47043,0.0, , , , , , , , , , , , , , 
ghrA,0.0, , , , , , , , , , , , , , , 
ycdX,0.753638,0.0, , , , , , , , , , , , , , 
ycdZ,-0.247291, , , , , , , , , , , , , , , 
csgB,0.0,0.0,0.0, , , , , , , , , , , , , 
ymdA,0.0, , , , , , , , , , , , , , , 
ymdB,0.567976,0.0, , , , , , , , , , , , , , 
mdoG,0.0,0.0, , , , , , , , , , , , , , 
yceK,-2.87068, , , , , , , , , , , , , , , 
yceA,0.402231, , , , , , , , , , , , , , , 
rimJ,0.0, , , , , , , , , , , , , , , 
yceH,0.0, , , , , , , , , , , , , , , 
yceM,-0.718266, , , , , , , , , , , , , , , 
murJ,-7.82008, , , , , , , , , , , , , , , 
flgB,-0.328775,-0.509068,0.277151,0.0,0.0,0.276332,0.0,0.406419,0.233902, , , , , , , 
flgK,0.0,0.0, , , , , , , , , , , , , , 
yceQ,-1.31496, , , , , , , , , , , , , , , 
rluC,0.0, , , , , , , , , , , , , , , 
sraB,-3.79873, , , , , , , , , , , , , , , 
yceD,-5.00406,-4.53428,-0.416023,-7.12358,-5.84173,-8.00166,-4.59195,0.619042, , , , , , , , 
pabC,0.0,0.0,-11.1161,-8.129,0.0, , , , , , , , , , , 
ptsG,-0.873511, , , , , , , , , , , , , , , 
hinT,-0.898437,-0.130332,-0.750907,-0.00691076,-6.81487,-0.567128, , , , , , , , , , 
ndh,0.0, , , , , , , , , , , , , , , 
ycfJ,0.0, , , , , , , , , , , , , , , 
bhsA,0.0, , , , , , , , , , , , , , , 
lolC,-9.20378,-11.1024,-7.66505, , , , , , , , , , , , , 
nagK,0.0,0.0, , , , , , , , , , , , , , 
pepT,-0.789327, , , , , , , , , , , , , , , 
icd,-1.74007, , , , , , , , , , , , , , , 
C0293,0.0, , , , , , , , , , , , , , , 
lit,-2.89652, , , , , , , , , , , , , , , 
ymfI,0.0, , , , , , , , , , , , , , , 
ymfT,0.473664,0.528628,0.0,0.0,-2.94527,0.0,-0.608499,-2.1385,0.0,-0.949147, , , , , , 
pinE,0.0, , , , , , , , , , , , , , , 
mcrA,0.0, , , , , , , , , , , , , , , 
icdC,0.466747, , , , , , , , , , , , , , , 
ycgZ,0.974786,-0.800246,-0.712967,0.0, , , , , , , , , , , , 
ycgG,0.0, , , , , , , , , , , , , , , 
ymgF,0.474084, , , , , , , , , , , , , , , 
ycgH_1,0.0, , , , , , , , , , , , , , , 
ycgH_2,-5.30022, , , , , , , , , , , , , , , 
ymgJ,0.0, , , , , , , , , , , , , , , 
ymgH,0.0,0.357913, , , , , , , , , , , , , , 
ycgJ,-6.74786, , , , , , , , , , , , , , , 
ycgL,0.0, , , , , , , , , , , , , , , 
ycgM,0.31999, , , , , , , , , , , , , , , 
ycgN,0.0, , , , , , , , , , , , , , , 
C0299,0.0, , , , , , , , , , , , , , , 
umuD,0.362369,0.361148, , , , , , , , , , , , , , 
fadR,-0.53016, , , , , , , , , , , , , , , 
dadA,0.254468,0.255695, , , , , , , , , , , , , , 
emtA,0.0, , , , , , , , , , , , , , , 
ymgE,-0.0613602, , , , , , , , , , , , , , , 
ycgY,0.0, , , , , , , , , , , , , , , 
dhaR,0.395262, , , , , , , , , , , , , , , 
ychH,0.583828, , , , , , , , , , , , , , , 
hemA,-7.95553,-9.08308,-6.81077, , , , , , , , , , , , , 
ychQ,0.0,-0.482475,-6.03802, , , , , , , , , , , , , 
rdlA,0.0, , , , , , , , , , , , , , , 
rdlB,0.0, , , , , , , , , , , , , , , 
rdlC,0.0, , , , , , , , , , , , , , , 
chaB,0.0,-0.358163, , , , , , , , , , , , , , 
ychO,0.0, , , , , , , , , , , , , , , 
narK,0.0, , , , , , , , , , , , , , , 
narG,0.0754574,0.0,0.384708,0.0, , , , , , , , , , , , 
ychS,-0.589962, , , , , , , , , , , , , , , 
rssA,0.362501,0.401874, , , , , , , , , , , , , , 
galU,-0.987275, , , , , , , , , , , , , , , 
tdk,-0.391112, , , , , , , , , , , , , , , 
ychE,0.0, , , , , , , , , , , , , , , 
oppA5',0.0, , , , , , , , , , , , , , , 
oppA,0.265541,0.0,0.254861,0.0,0.0, , , , , , , , , , , 
yciY,0.0, , , , , , , , , , , , , , , 
tonB,0.47028, , , , , , , , , , , , , , , 
ompW,0.300315, , , , , , , , , , , , , , , 
yciV,-0.386131,0.0,0.0, , , , , , , , , , , , , 
rluB,-1.64355, , , , , , , , , , , , , , , 
sohB,-1.4413, , , , , , , , , , , , , , , 
topA,-5.69522, , , , , , , , , , , , , , , 
cysB,0.0, , , , , , , , , , , , , , , 
ymiA,0.0,-1.11618, , , , , , , , , , , , , , 
acnA,0.0, , , , , , , , , , , , , , , 
pgpB,0.0, , , , , , , , , , , , , , , 
yciS,-5.27447,-7.24085,0.0,-0.620137, , , , , , , , , , , , 
puuD,0.348039,-1.42327,0.0,-0.322013,0.0, , , , , , , , , , , 
pspA,-0.332825,0.0,-0.191537,0.0,0.0, , , , , , , , , , , 
ycjM,0.837335,0.0,0.289885,-3.84313,0.0,0.0,0.0,0.502542,0.545244,0.0,0.0, , , , , 
ompG,-0.461384, , , , , , , , , , , , , , , 
ycjX,0.0,0.0,-0.61132, , , , , , , , , , , , , 
ycjG,-3.76038, , , , , , , , , , , , , , , 
pgrR,-0.322957, , , , , , , , , , , , , , , 
mppA,0.0, , , , , , , , , , , , , , , 
insH-4,0.0, , , , , , , , , , , , , , , 
ynaJ,0.0, , , , , , , , , , , , , , , 
abgR,0.0, , , , , , , , , , , , , , , 
smrA,0.0, , , , , , , , , , , , , , , 
ydaN,0.0, , , , , , , , , , , , , , , 
fnrS,0.0, , , , , , , , , , , , , , , 
C0343,0.404872,0.361225, , , , , , , , , , , , , , 
sieB,0.0, , , , , , , , , , , , , , , 
ydaS,0.506732,0.0,0.0,0.0,0.490111,0.0,0.0, , , , , , , , , 
trkG,0.0, , , , , , , , , , , , , , , 
b1364,0.0, , , , , , , , , , , , , , , 
ynaK,0.0,-0.944855, , , , , , , , , , , , , , 
ynaA,-2.36454,0.0, , , , , , , , , , , , , , 
lomR_2,-2.75577,0.0,0.0, , , , , , , , , , , , , 
micC,0.0, , , , , , , , , , , , , , , 
ydbJ,0.0, , , , , , , , , , , , , , , 
ydbH,0.0,0.0,0.0, , , , , , , , , , , , , 
feaB,0.492282, , , , , , , , , , , , , , , 
paaA,0.230083,0.0,-1.23922,-0.040709,0.028329,-0.64294,0.0,0.0,-0.844967,-1.1131,0.0, , , , , 
paaX,0.0,-2.12489, , , , , , , , , , , , , , 
ydbA_1,0.0, , , , , , , , , , , , , , , 
insI-2,0.0, , , , , , , , , , , , , , , 
ydbA_2,0.45938, , , , , , , , , , , , , , , 
ydbC,0.456698, , , , , , , , , , , , , , , 
ydbD,-1.23564, , , , , , , , , , , , , , , 
ynbA,0.0,0.294522,-7.4515,0.0, , , , , , , , , , , , 
hrpA,-0.884598, , , , , , , , , , , , , , , 
ydcF,-6.23465, , , , , , , , , , , , , , , 
aldA,0.0, , , , , , , , , , , , , , , 
cybB,0.305087, , , , , , , , , , , , , , , 
ydcA,-1.95514, , , , , , , , , , , , , , , 
sokB,0.0, , , , , , , , , , , , , , , 
trg,-0.868258, , , , , , , , , , , , , , , 
ydcJ,-0.445382, , , , , , , , , , , , , , , 
mdoD,0.0, , , , , , , , , , , , , , , 
ydcH,0.578484, , , , , , , , , , , , , , , 
rimL,0.0, , , , , , , , , , , , , , , 
tehA,0.308011,-0.703212, , , , , , , , , , , , , , 
ydcL,1.04381, , , , , , , , , , , , , , , 
ydcM,0.341825, , , , , , , , , , , , , , , 
ydcN,-1.00066, , , , , , , , , , , , , , , 
ydcP,0.0, , , , , , , , , , , , , , , 
hicA,0.55444,0.0, , , , , , , , , , , , , , 
ydcR,0.0, , , , , , , , , , , , , , , 
ydcS,0.0,-0.36319,-0.890851,0.0,-0.383304, , , , , , , , , , , 
ydcX,0.0, , , , , , , , , , , , , , , 
ydcY,0.0, , , , , , , , , , , , , , , 
curA,0.0, , , , , , , , , , , , , , , 
mcbR,0.0, , , , , , , , , , , , , , , 
yncE,-2.05811, , , , , , , , , , , , , , , 
yncG,0.73821, , , , , , , , , , , , , , , 
yncH,0.0, , , , , , , , , , , , , , , 
rhsE,-0.873813,0.0, , , , , , , , , , , , , , 
yncI,0.0, , , , , , , , , , , , , , , 
yncM,0.0, , , , , , , , , , , , , , , 
ydcC,0.370057, , , , , , , , , , , , , , , 
pptA,0.0, , , , , , , , , , , , , , , 
nhoA,0.0, , , , , , , , , , , , , , , 
fdnG,0.299963,0.276368,0.337237, , , , , , , , , , , , , 
C0362,0.0, , , , , , , , , , , , , , , 
osmC,0.0, , , , , , , , , , , , , , , 
lsrA,0.0,0.0,0.0,-0.777887,0.0,0.0,0.0, , , , , , , , , 
yneJ,-1.0544, , , , , , , , , , , , , , , 
yneK,0.0, , , , , , , , , , , , , , , 
ydeA,0.0, , , , , , , , , , , , , , , 
marR,0.0,0.0,0.0, , , , , , , , , , , , , 
ydeE,0.0, , , , , , , , , , , , , , , 
